时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
0,5349,32085,35523,0,0,0,0,0,0,0,0,0.021838,0.000488,0,0,0,0
0.007555,0,0,0,0,0,0,0,0,0,0,0,0,0.002806,0,0,0,0
0.019497,5358,32086,35528,0,0,0,0,0,0,0,0,0,0,0.010614,0,1.2425,0.735
0.038288,0,0,0,0,0,0,0,0,0,0,0,0.002806,0.00122,0,0,0.245,0.77
0.039342,5362,32087,35534,0,0,0,0,0,0,0,0,0,0.00122,0,0,1.015,1.365
0.058309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2425,1.6975
0.059447,5365,32083,35523,0,0,0,0,0,0,0,0,0,0,0,0,0.8575,1.575
0.077665,0,0,0,0,0,0,0,0,0,0,0,0.003416,0,0,0,1.1725,1.2425
0.079165,5360,32078,35503,0,0,0,0,0,0,0,0,0,0.012322,0.011712,0,2.905,0.56
0.098639,0,0,0,0,0,0,0,0,0,0,0,0,0.005002,0.00854,0,2.7475,0.875
0.100145,5349,32071,35496,0,0,0,0,0,0,0,0,0.013542,0,0.015006,0,1.225,1.0325
0.116795,0,0,0,0,0,0,0,0,0,0,0,0.019642,0.003294,0,0,0,0
0.119386,5334,32067,35477,0,0,0,0,0,0,0,0,0.015372,0.000732,0.00061,0,0,0
1.09992,0,0,0,0,0,0,0,0,0,0,0,0.023424,0,0.002562,0,0,0
1.101073,5282,32042,35386,0,0,0,0,0,0,0,0,0,0.00549,0,0,0,0
1.10775,0,0,0,0,0,0,0,0,0,0,0,0,0.003172,0.015982,0,0,0
1.128623,5282,32042,35386,0,0,0,0,0,0,0,0,0,0.000244,0,0,0,0
1.130036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595
1.147852,5284,32042,35388,0,0,0,0,0,0,0,0,0,0.00061,0,0,1.0325,0.84
1.148452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365,1.2425
1.168212,5289,32042,35390,0,0,0,0,0,0,0,0,0,0,0,0,0.8225,1.925
1.169238,0,0,0,0,0,0,0,0,0,0,0,0.009028,0,0,0,1.0675,1.575
1.186979,5295,32043,35390,0,0,0,0,0,0,0,0,0.005246,0.007442,0,0,1.295,1.12
1.189593,0,0,0,0,0,0,0,0,0,0,0,0.000366,0.015128,0.01159,0,2.8525,0.7175
1.208684,5301,32053,35410,0,0,0,0,0,0,0,0,0,0.007076,0.015738,0,3.535,1.365
1.209973,0,0,0,0,0,0,0,0,0,0,0,0.024888,0,0.017812,0,2.03,1.7325
1.228982,5310,32063,35436,0,0,0,0,0,0,0,0,0.012932,0,0,0,1.05,0.385
1.230986,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0.002684,0,1.575,0.525
1.247508,5321,32068,35454,0,0,0,0,0,0,0,0,0.0061,0,0,0,0.6825,0.1925
1.249013,0,0,0,0,0,0,0,0,0,0,0,0.014152,0,0,0,0,0
1.267158,5327,32076,35470,0,0,0,0,0,0,0,0,0,0.002318,0.00183,0,0.42,0
1.268775,0,0,0,0,0,0,0,0,0,0,0,0.001586,0.011834,0.00427,0,0,0
1.277647,5336,32081,35489,0,0,0,0,0,0,0,0,0,0.007686,0.00976,0,0.21,0
1.297375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004514,0,0,0
1.29995,5348,32088,35500,0,0,0,0,0,0,0,0,0,0.001952,0.002074,0,0,0
1.318418,0,0,0,0,0,0,0,0,0,0,0,0.037576,0,0,0,0,0
1.319924,5356,32086,35492,0,0,0,0,0,0,0,0,0,0.015372,0,0,0,0
1.337547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01952,0,0,0
1.339058,5360,32087,35494,0,0,0,0,0,0,0,0,0.000488,0.001098,0,0,0,0
1.35861,0,0,0,0,0,0,0,0,0,0,0,0.006344,0.001586,0,0,0,0
1.360149,5366,32084,35491,0,0,0,0,0,0,0,0,0,0.000244,0.002196,0,0.875,1.2425
1.379198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8225,1.5225
1.380225,5367,32081,35479,0,0,0,0,0,0,0,0,0,0,0,0,0.9275,1.7675
1.399056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,2.0125
1.400077,5359,32069,35452,0,0,0,0,0,0,0,0,0.002806,0,0,0,1.12,1.82
1.418488,0,0,0,0,0,0,0,0,0,0,0,0.002928,0.00915,0.004758,0,2.5375,0.665
1.419553,5347,32057,35426,0,0,0,0,0,0,0,0,0,0.007564,0.020252,0,3.745,1.12
1.439641,0,0,0,0,0,0,0,0,0,0,0,0.010126,0,0.021716,0,2.345,1.4525
1.440646,5327,32051,35405,0,0,0,0,0,0,0,0,0.022936,0.010248,0,0,0.0175,0.2975
1.448314,0,0,0,0,0,0,0,0,0,0,0,0.022204,0,0,0,0.1225,0.07
1.449366,5302,32035,35367,0,0,0,0,0,0,0,0,0.007564,0,0.005612,0,1.5575,0
1.466998,0,0,0,0,0,0,0,0,0,0,0,0.019398,0,0,0,0.1225,0
1.487161,5280,32027,35341,0,0,0,0,0,0,0,0,0.00549,0.00854,0,0,0.1575,0
1.489743,0,0,0,0,0,0,0,0,0,0,0,0.000488,0,0.007076,0,0.9275,0
1.508328,5263,32022,35329,0,0,0,0,0,0,0,0,0,0.01037,0.007686,0,0,0
1.509533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013176,0,0,0
1.519522,5254,32019,35316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.537014,0,0,0,0,0,0,0,0,0,0,0,0.039772,0,0,0,0,0
1.539546,5240,32008,35282,0,0,0,0,0,0,0,0,0,0.017568,0,0,0,0
1.557333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004392,0,0,0.42
1.559873,5232,32002,35267,0,0,0,0,0,0,0,0,0.005978,0,0,0,0,0
1.577604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.578594,5227,31996,35255,0,0,0,0,0,0,0,0,0,0.001098,0,0,0.6475,0.6475
1.597684,0,0,0,0,0,0,0,0,0,0,0,0,0.005002,0,0,0.525,0.5775
1.599228,5226,31994,35249,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1.645
1.618242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,1.8025
1.62031,5225,31992,35252,0,0,0,0,0,0,0,0,0.00854,0,0,0,0.84,1.4
1.638199,0,0,0,0,0,0,0,0,0,0,0,0.005734,0.0061,0.003172,0,1.54,0.9975
1.639366,5231,32001,35274,0,0,0,0,0,0,0,0,0,0.005368,0.009882,0,2.905,1.1725
1.658312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011224,0,1.89,1.995
1.659379,5242,32015,35316,0,0,0,0,0,0,0,0,0.01586,0.00305,0,0,0.56,1.2425
1.678653,0,0,0,0,0,0,0,0,0,0,0,0.017568,0,0,0,0.105,0.5425
1.679852,5251,32025,35334,0,0,0,0,0,0,0,0,0,0,0,0,0.9275,0.4725
1.698421,0,0,0,0,0,0,0,0,0,0,0,0.008174,0,0.013542,0,0.63,0
1.699814,5259,32033,35353,0,0,0,0,0,0,0,0,0.003172,0.010614,0.007564,0,0.4725,0
1.716597,0,0,0,0,0,0,0,0,0,0,0,0.006588,0.0061,0.013664,0,0.5075,0
1.719671,5268,32041,35373,0,0,0,0,0,0,0,0,0.010736,0.011956,0,0,0,0
1.73857,0,0,0,0,0,0,0,0,0,0,0,0,0.010736,0.005368,0,0,0
