时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
0,292,672,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002229,278,636,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01951,263,603,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020565,256,574,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02892,249,555,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049537,244,554,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.068833,251,566,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070834,259,583,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.089561,261,597,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094841,262,597,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109527,258,591,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110547,258,591,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.118815,261,603,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14001,263,614,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14101,266,618,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.159303,267,617,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160345,265,615,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.179559,263,607,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180559,257,596,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200012,250,569,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.201017,238,543,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.218948,230,511,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220475,219,483,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238685,207,459,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240724,199,442,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248623,198,429,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.268904,194,426,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270962,194,421,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288841,194,420,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29085,194,415,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.308887,193,413,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310975,187,409,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330999,188,402,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.332032,185,398,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.349122,184,396,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350402,186,395,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.368706,185,396,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370781,185,397,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390334,186,398,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.392419,188,398,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.409883,184,398,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.411176,187,396,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429648,186,393,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430648,185,394,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.449593,187,398,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450585,186,395,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.471442,184,401,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.472461,186,400,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480601,189,402,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.481601,191,409,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.499169,194,417,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51916,193,420,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520585,197,423,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54037,197,421,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.541579,197,417,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.559823,190,416,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560936,192,415,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.579527,194,417,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580527,197,418,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.598691,197,421,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600825,196,427,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.621409,199,427,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623441,200,428,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63931,199,430,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640362,200,433,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.659846,202,443,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660853,206,452,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.679699,210,459,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.681705,215,466,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.699318,212,470,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.70034,219,482,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.718507,229,510,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72055,248,572,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.728688,278,667,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.749787,315,780,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.750779,350,880,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.768869,374,954,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770197,388,1009,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.788883,400,1045,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790959,416,1088,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.809595,435,1141,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.811616,450,1209,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.828576,480,1291,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830837,503,1377,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
